pref_label,uri,notation,description,alt_labels,in_schemes,broader,narrower
Network attack propagation analysis,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_attack_propagation_analysis,network_attack_propagation_analysis,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
Network interoperability,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_interoperability,network_interoperability,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
Network layer attacks and mitigation techniques,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_layer_attacks_mitigation_techniques,network_layer_attacks_mitigation_techniques,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
"Network security (principles, methods, protocols, algorithms and technologies)",http://data.jrc.ec.europa.eu/ontology/cybersecurity/network-security_principles_methods_protocols_algorithms_technologies,network-security_principles_methods_protocols_algorithms_technologies,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
Network steganography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_steganography,network_steganography,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
New theoretically-based techniques for the formal analysis and design of cryptographic protocols and their applications,http://data.jrc.ec.europa.eu/ontology/cybersecurity/new_theoreticall_techniques_formal_analysis_design_cryptographic_protocols,new_theoreticall_techniques_formal_analysis_design_cryptographic_protocols,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/theoretical_foundations,
Non-intrusive security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/non-intrusive_security,non-intrusive_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Nuclear,http://data.jrc.ec.europa.eu/ontology/cybersecurity/nuclear,nuclear,"Includes activities related to nuclear safety, radioactive waste and spent fuel, radiation protection, decommissioning of nuclear facilities, as well as the implementation of safeguards to avoid misuse.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Operating systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/operating_systems,operating_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Optical and electronic document security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/optical_electronic_document_security,optical_electronic_document_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/identity_management,
Policy issues related to digital forensics,http://data.jrc.ec.europa.eu/ontology/cybersecurity/digital-forensics_policy_issues,digital-forensics_policy_issues,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,
Post-quantum cryptography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/post-quantum_cryptography,post-quantum_cryptography,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptology,
Privacy Enhancing Technologies,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy_enhancing_technologies,privacy_enhancing_technologies,,PET,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/data_security_privacy,
Privacy and identity management,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy_identity_management,privacy_identity_management,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/identity_management,
Privacy by design,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-by-design,privacy-by-design,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
"Privacy concerns, behaviours, and practices",http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy_concerns_behaviours_practices,privacy_concerns_behaviours_practices,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Privacy impact assessment and risk management,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-impact-assessment_risk_management,privacy-impact-assessment_risk_management,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Privacy requirements for data management systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy_requirements_data_management_systems,privacy_requirements_data_management_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/data_security_privacy,
Privacy-friendly communication architectures and services,http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-friendly_communication_architectures_services,privacy-friendly_communication_architectures_services,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
